experiment_id,recorded_at,model,horizon,split,n,MAE,RMSE,MAPE,sMAPE,train_period,validation_period,test_period,n_features,hyperparameters,notes
exp_ladder_hist_gbr_lags,2026-08-26T01:55:01+00:00,hist_gbr,3d,valid,11616,23.586,30.795,0.9499,0.9531,2021-01-01..2023-12-28,2024-01-01..2024-12-28,,54,"{""early_stopping"": false, ""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_depth"": null, ""max_iter"": 600, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 40, ""random_state"": 42}",feature_set=lags; fit=2.6s
exp_ladder_hist_gbr_lags,2026-08-26T01:55:04+00:00,hist_gbr,7d,valid,11488,34.534,44.124,1.3844,1.394,2021-01-01..2023-12-24,2024-01-01..2024-12-24,,54,"{""early_stopping"": false, ""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_depth"": null, ""max_iter"": 600, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 40, ""random_state"": 42}",feature_set=lags; fit=2.7s
exp_ladder_hist_gbr_rolling,2026-08-26T01:55:07+00:00,hist_gbr,1d,valid,11680,15.185,20.172,0.6156,0.6163,2021-01-01..2023-12-30,2024-01-01..2024-12-30,,82,"{""early_stopping"": false, ""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_depth"": null, ""max_iter"": 600, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 40, ""random_state"": 42}",feature_set=rolling; fit=3.1s
exp_ladder_hist_gbr_rolling,2026-08-26T01:55:11+00:00,hist_gbr,3d,valid,11616,23.488,30.489,0.9485,0.9517,2021-01-01..2023-12-28,2024-01-01..2024-12-28,,82,"{""early_stopping"": false, ""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_depth"": null, ""max_iter"": 600, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 40, ""random_state"": 42}",feature_set=rolling; fit=3.6s
exp_ladder_hist_gbr_rolling,2026-08-26T01:55:15+00:00,hist_gbr,7d,valid,11488,34.211,43.64,1.3754,1.384,2021-01-01..2023-12-24,2024-01-01..2024-12-24,,82,"{""early_stopping"": false, ""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_depth"": null, ""max_iter"": 600, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 40, ""random_state"": 42}",feature_set=rolling; fit=3.3s
exp_ladder_hist_gbr_full,2026-08-26T01:55:19+00:00,hist_gbr,1d,valid,11680,14.73,19.702,0.5956,0.5961,2021-01-01..2023-12-30,2024-01-01..2024-12-30,,106,"{""early_stopping"": false, ""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_depth"": null, ""max_iter"": 600, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 40, ""random_state"": 42}",feature_set=full; fit=4.1s
exp_ladder_hist_gbr_full,2026-08-26T01:55:23+00:00,hist_gbr,3d,valid,11616,22.288,29.318,0.899,0.9007,2021-01-01..2023-12-28,2024-01-01..2024-12-28,,106,"{""early_stopping"": false, ""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_depth"": null, ""max_iter"": 600, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 40, ""random_state"": 42}",feature_set=full; fit=3.9s
exp_ladder_hist_gbr_full,2026-08-26T01:55:27+00:00,hist_gbr,7d,valid,11488,30.835,39.992,1.2393,1.2436,2021-01-01..2023-12-24,2024-01-01..2024-12-24,,106,"{""early_stopping"": false, ""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_depth"": null, ""max_iter"": 600, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 40, ""random_state"": 42}",feature_set=full; fit=3.8s
exp_ladder_xgboost_raw,2026-08-26T01:55:29+00:00,xgboost,1d,valid,11680,17.205,22.054,0.6925,0.6946,2021-01-01..2023-12-30,2024-01-01..2024-12-30,,26,"{""colsample_bytree"": 0.8, ""gamma"": 0.0, ""learning_rate"": 0.05, ""max_depth"": 6, ""min_child_weight"": 5, ""n_estimators"": 800, ""n_jobs"": -1, ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.9, ""tree_method"": ""hist""}",feature_set=raw; fit=2.4s
exp_ladder_xgboost_raw,2026-08-26T01:55:31+00:00,xgboost,3d,valid,11616,29.603,37.807,1.1854,1.1935,2021-01-01..2023-12-28,2024-01-01..2024-12-28,,26,"{""colsample_bytree"": 0.8, ""gamma"": 0.0, ""learning_rate"": 0.05, ""max_depth"": 6, ""min_child_weight"": 5, ""n_estimators"": 800, ""n_jobs"": -1, ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.9, ""tree_method"": ""hist""}",feature_set=raw; fit=1.3s
exp_ladder_xgboost_raw,2026-08-26T01:55:32+00:00,xgboost,7d,valid,11488,47.533,59.462,1.8943,1.9182,2021-01-01..2023-12-24,2024-01-01..2024-12-24,,26,"{""colsample_bytree"": 0.8, ""gamma"": 0.0, ""learning_rate"": 0.05, ""max_depth"": 6, ""min_child_weight"": 5, ""n_estimators"": 800, ""n_jobs"": -1, ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.9, ""tree_method"": ""hist""}",feature_set=raw; fit=1.2s
exp_ladder_xgboost_lags,2026-08-26T01:55:35+00:00,xgboost,1d,valid,11680,15.377,19.82,0.6204,0.6214,2021-01-01..2023-12-30,2024-01-01..2024-12-30,,54,"{""colsample_bytree"": 0.8, ""gamma"": 0.0, ""learning_rate"": 0.05, ""max_depth"": 6, ""min_child_weight"": 5, ""n_estimators"": 800, ""n_jobs"": -1, ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.9, ""tree_method"": ""hist""}",feature_set=lags; fit=2.9s
exp_ladder_xgboost_lags,2026-08-26T01:55:38+00:00,xgboost,3d,valid,11616,25.125,32.738,1.0084,1.0127,2021-01-01..2023-12-28,2024-01-01..2024-12-28,,54,"{""colsample_bytree"": 0.8, ""gamma"": 0.0, ""learning_rate"": 0.05, ""max_depth"": 6, ""min_child_weight"": 5, ""n_estimators"": 800, ""n_jobs"": -1, ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.9, ""tree_method"": ""hist""}",feature_set=lags; fit=3.0s
